date,geo,search_volume,impressions,observed_clicks,dayofyear,time,budget
2020-01-01,geo_0,17720,2205,210,1,0,30.334719185771235
2020-01-01,geo_1,14661,1909,192,1,0,29.94393677819433
2020-01-01,geo_2,18461,2226,238,1,0,29.043329832638598
2020-01-01,geo_3,23102,2809,284,1,0,29.517477209711913
2020-01-01,geo_4,14321,1834,177,1,0,30.448249835100086
2020-01-01,geo_5,14181,1741,173,1,0,28.629786788982535
2020-01-01,geo_6,23463,3011,320,1,0,30.593713575841004
2020-01-01,geo_7,19075,2386,244,1,0,30.26061499532227
2020-01-01,geo_8,13002,1667,151,1,0,30.658088040765012
2020-01-01,geo_9,17850,2184,208,1,0,29.900715406559524
2020-01-02,geo_0,20003,2533,194,2,1,29.390537454360334
2020-01-02,geo_1,17257,2157,185,2,1,30.245091430529698
2020-01-02,geo_2,20423,2521,245,2,1,29.767308098431183
2020-01-02,geo_3,25088,3072,291,2,1,30.067251643839644
2020-01-02,geo_4,16356,2035,188,2,1,30.20279502541941
2020-01-02,geo_5,16022,1994,172,2,1,28.759058272878583
2020-01-02,geo_6,25810,3290,285,2,1,30.41475809812937
2020-01-02,geo_7,21158,2643,210,2,1,29.93773729126614
2020-01-02,geo_8,14820,1893,155,2,1,31.2214713766367
2020-01-02,geo_9,20807,2558,210,2,1,29.388509906935663
2020-01-03,geo_0,20885,2573,156,3,2,29.030278326298095
2020-01-03,geo_1,17749,2274,158,3,2,29.779179241131303
2020-01-03,geo_2,21251,2608,198,3,2,29.10896434073735
2020-01-03,geo_3,25318,3213,217,3,2,30.228001749308447
2020-01-03,geo_4,16970,2138,157,3,2,30.869564655475205
2020-01-03,geo_5,16827,2107,143,3,2,28.752638014693016
2020-01-03,geo_6,25628,3090,242,3,2,29.749476355439114
2020-01-03,geo_7,21827,2685,197,3,2,30.444593543084597
2020-01-03,geo_8,15312,1962,137,3,2,32.15013817877269
2020-01-03,geo_9,21228,2565,167,3,2,29.152077566244188
2020-01-04,geo_0,19007,2368,137,4,3,28.87790627324513
2020-01-04,geo_1,16074,2023,102,4,3,30.123364556237124
2020-01-04,geo_2,19584,2372,146,4,3,30.006937598438753
2020-01-04,geo_3,24535,3073,213,4,3,30.055886269896234
2020-01-04,geo_4,15678,1935,122,4,3,30.28961199971849
2020-01-04,geo_5,15220,1873,114,4,3,29.15461956673559
2020-01-04,geo_6,25004,3053,162,4,3,30.236861328853998
2020-01-04,geo_7,20722,2657,149,4,3,30.534799937291837
2020-01-04,geo_8,14852,1864,99,4,3,31.957141005674373
2020-01-04,geo_9,19841,2466,132,4,3,29.736211863588576
2020-01-05,geo_0,17091,2109,105,5,4,29.229212795275437
2020-01-05,geo_1,14660,1813,94,5,4,29.825882810255806
2020-01-05,geo_2,17606,2231,112,5,4,30.11890536668347
2020-01-05,geo_3,21929,2756,153,5,4,29.468221492347602
2020-01-05,geo_4,12749,1598,86,5,4,30.719210109911984
2020-01-05,geo_5,13275,1651,82,5,4,29.110155678245167
2020-01-05,geo_6,22628,2738,128,5,4,30.10724446222978
2020-01-05,geo_7,18034,2309,125,5,4,30.60588784261155
2020-01-05,geo_8,12500,1577,67,5,4,32.063744064612244
2020-01-05,geo_9,17235,2177,128,5,4,30.271005441501686
2020-01-06,geo_0,15659,1935,156,6,5,29.612556807106298
2020-01-06,geo_1,12689,1569,133,6,5,29.834921180178327
2020-01-06,geo_2,16083,2066,164,6,5,30.58867084143974
2020-01-06,geo_3,21100,2687,261,6,5,29.757294597566666
2020-01-06,geo_4,11733,1447,101,6,5,30.59306968467043
2020-01-06,geo_5,12625,1574,127,6,5,29.13495600633802
2020-01-06,geo_6,21551,2664,208,6,5,30.121887346984792
2020-01-06,geo_7,16879,2157,185,6,5,30.94655527166578
2020-01-06,geo_8,10390,1362,107,6,5,31.96718728692579
2020-01-06,geo_9,16109,2013,173,6,5,30.16363985580459
2020-01-07,geo_0,16716,2105,228,7,6,30.68537034346016
2020-01-07,geo_1,13172,1676,189,7,6,30.3926640393136
